epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5974,3.74688,22.8176,0.77003,9.71595,1.8652,0.22055,0.2,0.16412,0.13549,0,0,0,0,2.40172,22.7953,0.71213,6.93562,1.45379,0.00054,0.00054,0.00054
2,22.8527,2.09185,15.604,0.85937,2.44024,1.25484,0.02636,0.3,0.01739,0.01372,0,0,0,0,1.81141,20.7677,0.68447,15.3661,1.15456,0.00109637,0.00109637,0.00109637
3,32.2918,2.46573,13.9815,0.63324,2.20828,1.32266,0.00559,0.8,0.00509,0.00389,0,0,0,0,2.1978,17.0636,0.59359,850.555,1.59628,0.00164904,0.00164904,0.00164904
4,41.0331,2.80918,12.7247,0.53123,2.5241,1.58239,0.00322,0.7,0.00267,0.0017,0.00276,0.6,0.00211,0.00074,2.94488,11.3316,0.50728,261.674,1.86197,0.0019802,0.0019802,0.0019802
5,49.6668,2.91029,8.43141,0.44973,2.01502,1.46499,0.02032,0.4,0.01301,0.00516,0.01318,0.4,0.00869,0.0026,4.78573,7.77545,0.36137,31.2487,3.25047,0.0019736,0.0019736,0.0019736
6,58.36,2.61414,6.35575,0.3362,1.47088,1.55932,0.38108,0.6,0.59483,0.28759,0.35458,0.60455,0.49398,0.12004,3.39319,6.8538,0.20669,7.33583,2.17586,0.001967,0.001967,0.001967
7,67.203,3.20821,5.8173,0.37447,2.14428,1.73988,0.02571,0.3,0.00926,0.00654,0.02571,0.3,0.00926,0.00509,4.98722,10.2735,0.30186,28.4768,2.59569,0.0019604,0.0019604,0.0019604
8,75.652,2.41263,4.13002,0.32637,1.61439,1.41789,0.06703,0.2,0.02112,0.01664,0.06703,0.2,0.02239,0.01039,5.35049,14.6335,0.42855,7.95478,2.30986,0.0019538,0.0019538,0.0019538
9,84.0142,2.25344,5.02777,0.34148,1.41185,1.31302,0.34279,0.83545,0.40801,0.29954,0.30669,0.75302,0.31564,0.13073,2.02096,4.26214,0.12498,4.48448,1.50092,0.0019472,0.0019472,0.0019472
10,92.7697,2.42975,5.59346,0.21181,1.17685,1.42874,0.60343,0.8,0.73357,0.4993,0.45333,0.6,0.51701,0.09923,1.69817,5.49876,0.10473,2.74396,1.24916,0.0019406,0.0019406,0.0019406
11,101.913,2.32174,4.32932,0.28963,1.1323,1.27696,0.2759,1,0.43261,0.31355,0.25013,0.9,0.36948,0.15088,1.97544,4.07915,0.11997,6.13147,1.29814,0.001934,0.001934,0.001934
12,110.828,2.03554,2.26042,0.24256,0.97431,1.25031,0.81773,0.89752,0.91528,0.73817,0.81773,0.89752,0.91528,0.2491,1.56582,4.16009,0.10013,4.04946,1.23642,0.0019274,0.0019274,0.0019274
13,120.02,1.88973,2.37517,0.23096,0.97982,1.21094,0.42339,1,0.67632,0.51124,0.38105,0.9,0.64041,0.35411,1.68902,3.30499,0.07249,6.67024,1.28774,0.0019208,0.0019208,0.0019208
14,128.264,1.85134,2.35282,0.20027,1.01393,1.27033,0.47793,0.8,0.81475,0.68376,0.47793,0.8,0.81475,0.58385,1.31009,1.78583,0.07023,5.35429,1.1909,0.0019142,0.0019142,0.0019142
15,136.964,1.60881,1.56316,0.26044,0.8267,1.16172,0.46459,0.9,0.90571,0.75102,0.46459,0.9,0.90571,0.72562,1.48616,1.45303,0.06962,5.3794,1.27694,0.0019076,0.0019076,0.0019076
16,145.739,1.57682,1.32439,0.17998,0.71641,1.12738,0.90631,0.96942,0.98591,0.79964,0.90631,0.96942,0.98591,0.85067,1.50873,0.9256,0.04597,0.79528,1.17312,0.001901,0.001901,0.001901
17,154.522,1.47351,1.43703,0.18428,0.68002,1.10659,0.96403,1,0.995,0.85948,0.96403,1,0.995,0.90866,1.18821,0.96319,0.0539,0.69345,1.0702,0.0018944,0.0018944,0.0018944
18,163.976,1.5503,1.88227,0.21207,0.70641,1.10743,0.90121,1,0.995,0.89365,0.90121,1,0.995,0.92315,1.05293,0.78976,0.05055,0.90937,1.03743,0.0018878,0.0018878,0.0018878
19,173.013,1.48867,1.55447,0.18822,0.68685,1.094,0.95074,1,0.995,0.84743,0.95074,1,0.995,0.93191,1.05654,0.70308,0.0483,0.80758,1.03348,0.0018812,0.0018812,0.0018812
20,181.64,1.48122,1.29284,0.16038,0.67088,1.08338,0.89113,1,0.98591,0.87115,0.89113,1,0.98591,0.98591,1.1125,0.30363,0.0503,0.70008,1.03027,0.0018746,0.0018746,0.0018746
