epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,193.659,0.67109,6.49907,0.6983,0.59895,0.79985,0.99237,1,0.995,0.80336,0.18058,0.16667,0.03323,0.00332,0.70048,5.8739,0.71332,1.54833,0.86401,0.00074704,0.00074704,0.00074704
32,199.723,0.68462,6.29658,0.75233,0.83394,0.96554,0.99237,1,0.995,0.80336,0.18058,0.16667,0.03323,0.00332,0.70048,5.8739,0.71332,1.54833,0.86401,0.00073378,0.00073378,0.00073378
33,205.992,1.05847,7.60693,0.68567,1.24063,0.96234,0.99237,1,0.995,0.80336,0.18058,0.16667,0.03323,0.00332,0.70048,5.8739,0.71332,1.54833,0.86401,0.000718144,0.000718144,0.000718144
34,212.592,0.75873,6.14548,0.70181,0.68575,0.85919,0.99237,1,0.995,0.80336,0.18058,0.16667,0.03323,0.00332,0.70048,5.8739,0.71332,1.54833,0.86401,0.0006932,0.0006932,0.0006932
35,218.819,0.69742,5.80492,0.74128,0.86212,0.92663,0.99237,1,0.995,0.80336,0.18058,0.16667,0.03323,0.00332,0.70048,5.8739,0.71332,1.54833,0.86401,0.0006536,0.0006536,0.0006536
36,224.947,0.83507,6.40548,0.7599,1.46882,0.94882,0.99237,1,0.995,0.80336,0.18058,0.16667,0.03323,0.00332,0.70048,5.8739,0.71332,1.54833,0.86401,0.000614,0.000614,0.000614
37,231.216,0.66716,6.28181,0.73256,0.93785,0.9453,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0005744,0.0005744,0.0005744
38,237.474,0.79729,5.93173,0.68795,0.63563,0.89714,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0005348,0.0005348,0.0005348
39,243.515,0.62402,5.8825,0.72792,0.53288,0.88728,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0004952,0.0004952,0.0004952
40,249.612,0.6433,5.93471,0.72065,0.58174,0.77372,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0004556,0.0004556,0.0004556
41,255.745,0.58307,5.46223,0.75552,0.65722,0.88715,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.000416,0.000416,0.000416
42,261.998,0.79896,6.23527,0.71531,0.79713,0.92555,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0003764,0.0003764,0.0003764
43,268.079,0.61762,5.97608,0.75175,0.62399,0.99881,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0003368,0.0003368,0.0003368
44,274.323,0.53302,5.80052,0.74841,0.56916,0.87644,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0002972,0.0002972,0.0002972
45,280.415,0.61435,6.14016,0.75467,0.73711,0.91684,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0002576,0.0002576,0.0002576
46,286.472,0.67289,5.83553,0.73574,0.79671,0.99888,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.000218,0.000218,0.000218
47,292.78,0.60558,5.8506,0.72151,0.78928,0.95811,0.99171,1,0.995,0.80482,0.0013,0.16667,0.00151,0.00045,0.63755,5.60985,0.73454,0.59119,0.87973,0.0001784,0.0001784,0.0001784
48,298.955,0.57662,5.91282,0.7674,0.52713,0.89792,0.99222,1,0.995,0.88793,0.88816,0.83333,0.83588,0.12243,0.5824,5.37768,0.75661,0.49466,0.84836,0.0001388,0.0001388,0.0001388
49,305.157,0.57171,6.30318,0.75151,0.8203,0.7729,0.99222,1,0.995,0.88793,0.88816,0.83333,0.83588,0.12243,0.5824,5.37768,0.75661,0.49466,0.84836,9.92e-05,9.92e-05,9.92e-05
50,311.259,0.63358,6.04458,0.74897,0.59318,0.89397,0.99222,1,0.995,0.88793,0.88816,0.83333,0.83588,0.12243,0.5824,5.37768,0.75661,0.49466,0.84836,5.96e-05,5.96e-05,5.96e-05
