epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.2519,1.55131,19.9031,0.73309,10.3923,1.91101,0,0,0,0,0,0,0,0,1.32863,20.0371,0.67525,6.17743,1.85713,0,0,0
2,14.076,1.55131,19.9031,0.73309,10.3923,1.91101,0,0,0,0,0,0,0,0,1.2453,20.072,0.67537,5.91904,1.79415,1.9736e-05,1.9736e-05,1.9736e-05
3,20.8032,1.33629,19.1298,0.74857,8.48815,1.75406,0,0,0,0,0,0,0,0,1.10953,20.0472,0.67648,5.43036,1.65582,3.8944e-05,3.8944e-05,3.8944e-05
4,27.2185,1.0665,18.786,0.7634,4.3095,1.46368,0,0,0,0,0,0,0,0,0.90505,19.9858,0.67697,4.76277,1.51272,5.7624e-05,5.7624e-05,5.7624e-05
5,33.3193,0.88773,17.7226,0.7533,2.38632,1.2856,0.01017,0.5,0.01217,0.01011,0,0,0,0,0.72876,19.9789,0.67666,4.09893,1.39068,7.5776e-05,7.5776e-05,7.5776e-05
6,39.5082,0.74941,15.897,0.76095,1.65369,1.20133,0.01114,0.83333,0.03703,0.03162,0,0,0,0,0.64323,19.8586,0.67735,3.45583,1.28922,9.34e-05,9.34e-05,9.34e-05
7,46.1787,0.68054,16.8931,0.75194,1.84153,1.23699,0.01114,0.83333,0.03703,0.03162,0,0,0,0,0.64323,19.8586,0.67735,3.45583,1.28922,0.000110496,0.000110496,0.000110496
8,52.4734,0.67997,14.5612,0.76085,1.36534,1.14146,0.00656,1,0.17533,0.15285,0,0,0,0,0.6023,19.7124,0.68093,2.79477,1.19853,0.000127064,0.000127064,0.000127064
9,58.6988,0.58045,13.6554,0.75937,1.22134,1.07248,0.00656,1,0.17533,0.15285,0,0,0,0,0.6023,19.7124,0.68093,2.79477,1.19853,0.000143104,0.000143104,0.000143104
10,65.0904,0.58045,13.6554,0.75937,1.22134,1.07248,0.489,0.83333,0.58562,0.51055,0,0,0,0,0.57394,19.5386,0.68378,2.28252,1.10502,0.000158616,0.000158616,0.000158616
11,71.4473,0.38519,12.2421,0.76416,1.10114,0.98337,0.489,0.83333,0.58562,0.51055,0,0,0,0,0.57394,19.5386,0.68378,2.28252,1.10502,0.0001736,0.0001736,0.0001736
12,78.2831,0.38519,12.2421,0.76416,1.10114,0.98337,0.94719,0.83333,0.85311,0.68354,0,0,0,0,0.54994,19.3359,0.68539,1.96137,1.0273,0.000188056,0.000188056,0.000188056
13,84.7189,0.30106,11.2059,0.77272,0.89151,0.90649,0.94719,0.83333,0.85311,0.68354,0,0,0,0,0.54994,19.3359,0.68539,1.96137,1.0273,0.000201984,0.000201984,0.000201984
14,91.298,0.30106,11.2059,0.77272,0.89151,0.90649,0.96918,0.83333,0.895,0.70147,0,0,0,0,0.55514,19.2435,0.68378,1.87961,1.00353,0.000215384,0.000215384,0.000215384
15,97.5881,0.31048,10.1667,0.75524,0.76423,0.90143,0.96918,0.83333,0.895,0.70147,0,0,0,0,0.55514,19.2435,0.68378,1.87961,1.00353,0.000228256,0.000228256,0.000228256
16,104.061,0.31048,10.1667,0.75524,0.76423,0.90143,0.98194,0.83333,0.955,0.73738,0,0,0,0,0.50262,19.1125,0.68354,1.75478,0.95167,0.0002406,0.0002406,0.0002406
17,110.258,0.23805,9.0477,0.7596,0.64801,0.856,0.98194,0.83333,0.955,0.73738,0,0,0,0,0.50262,19.1125,0.68354,1.75478,0.95167,0.000252416,0.000252416,0.000252416
18,116.488,0.23805,9.0477,0.7596,0.64801,0.856,0.98194,0.83333,0.955,0.73738,0,0,0,0,0.50262,19.1125,0.68354,1.75478,0.95167,0.000263704,0.000263704,0.000263704
19,122.799,0.23805,9.0477,0.7596,0.64801,0.856,1,0.98198,0.995,0.80377,0,0,0,0,0.44832,18.9888,0.68273,1.65776,0.90172,0.000274464,0.000274464,0.000274464
20,129.07,0.22911,8.60586,0.7644,0.58238,0.85203,1,0.98198,0.995,0.80377,0,0,0,0,0.44832,18.9888,0.68273,1.65776,0.90172,0.000284696,0.000284696,0.000284696
21,135.82,0.22911,8.60586,0.7644,0.58238,0.85203,1,0.98198,0.995,0.80377,0,0,0,0,0.44832,18.9888,0.68273,1.65776,0.90172,0.0002944,0.0002944,0.0002944
22,142.077,0.22911,8.60586,0.7644,0.58238,0.85203,0.98368,1,0.995,0.80785,0,0,0,0,0.43769,18.7748,0.68239,1.60955,0.89336,0.000303576,0.000303576,0.000303576
23,148.429,0.20887,8.80628,0.76561,0.51091,0.83253,0.98368,1,0.995,0.80785,0,0,0,0,0.43769,18.7748,0.68239,1.60955,0.89336,0.000312224,0.000312224,0.000312224
24,154.751,0.20887,8.80628,0.76561,0.51091,0.83253,0.98368,1,0.995,0.80785,0,0,0,0,0.43769,18.7748,0.68239,1.60955,0.89336,0.000320344,0.000320344,0.000320344
25,160.962,0.20887,8.80628,0.76561,0.51091,0.83253,1,0.97628,0.995,0.85931,0,0,0,0,0.40315,18.6117,0.68196,1.5276,0.89394,0.000327936,0.000327936,0.000327936
26,167.185,0.2178,7.9887,0.73958,0.47896,0.82552,1,0.97628,0.995,0.85931,0,0,0,0,0.40315,18.6117,0.68196,1.5276,0.89394,0.000335,0.000335,0.000335
27,173.338,0.2178,7.9887,0.73958,0.47896,0.82552,1,0.97628,0.995,0.85931,0,0,0,0,0.40315,18.6117,0.68196,1.5276,0.89394,0.000341536,0.000341536,0.000341536
28,179.351,0.2178,7.9887,0.73958,0.47896,0.82552,1,0.97628,0.995,0.85931,0,0,0,0,0.40315,18.6117,0.68196,1.5276,0.89394,0.000347544,0.000347544,0.000347544
29,185.433,0.2178,7.9887,0.73958,0.47896,0.82552,0.98532,1,0.995,0.89321,0,0,0,0,0.38094,18.4417,0.68224,1.42269,0.89788,0.000353024,0.000353024,0.000353024
