epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.90763,1.52273,20.0128,0.74354,11.5472,1.96406,0,0,0,0,0,0,0,0,1.32794,20.037,0.67526,6.17915,1.85529,0,0,0
2,13.7502,1.26283,20.1287,0.74105,10.1187,1.52223,0,0,0,0,0,0,0,0,1.2248,20.0638,0.67537,5.91963,1.78008,1.9736e-05,1.9736e-05,1.9736e-05
3,20.0865,1.47423,19.6326,0.73494,9.60251,1.95575,0,0,0,0,0,0,0,0,1.03627,20.065,0.67606,5.3879,1.62984,3.8944e-05,3.8944e-05,3.8944e-05
4,26.5185,1.05971,19.7195,0.7231,6.38347,1.6166,0.00922,0.33333,0.00656,0.00591,0,0,0,0,0.79397,20.0338,0.67792,4.58518,1.44487,5.7624e-05,5.7624e-05,5.7624e-05
5,32.8471,0.90276,19.2832,0.70606,5.03786,1.51555,0.01695,0.83333,0.02427,0.02163,0,0,0,0,0.62382,19.9417,0.67837,3.71895,1.29086,7.5776e-05,7.5776e-05,7.5776e-05
6,39.0621,0.66031,18.5606,0.75764,2.25772,1.16832,0.01027,0.83333,0.0787,0.0721,0,0,0,0,0.52038,19.8467,0.67941,2.9244,1.15904,9.34e-05,9.34e-05,9.34e-05
7,45.3352,0.57825,18.0262,0.76294,2.23381,1.13427,0.01027,0.83333,0.0787,0.0721,0,0,0,0,0.52038,19.8467,0.67941,2.9244,1.15904,0.000110496,0.000110496,0.000110496
8,51.5364,0.56273,17.3765,0.73853,1.70707,1.02802,0.48612,0.5,0.50034,0.44417,0,0,0,0,0.45345,19.7098,0.68314,2.15833,1.05539,0.000127064,0.000127064,0.000127064
9,57.6696,0.45636,15.5983,0.75974,1.36781,0.96785,0.48612,0.5,0.50034,0.44417,0,0,0,0,0.45345,19.7098,0.68314,2.15833,1.05539,0.000143104,0.000143104,0.000143104
10,63.881,0.56561,16.2321,0.75815,1.53693,0.98352,1,0.73633,0.847,0.79115,0,0,0,0,0.42867,19.4329,0.68565,1.72271,0.99056,0.000158616,0.000158616,0.000158616
11,70.122,0.51201,14.3981,0.78333,1.20969,0.95376,1,0.73633,0.847,0.79115,0,0,0,0,0.42867,19.4329,0.68565,1.72271,0.99056,0.0001736,0.0001736,0.0001736
12,76.6008,0.41624,13.6882,0.74811,1.23992,0.913,0.96691,0.83333,0.86597,0.78318,0,0,0,0,0.39614,19.2198,0.68597,1.54563,0.95679,0.000188056,0.000188056,0.000188056
13,82.7132,0.3371,12.4673,0.78182,1.06113,0.87628,0.96691,0.83333,0.86597,0.78318,0,0,0,0,0.39614,19.2198,0.68597,1.54563,0.95679,0.000201984,0.000201984,0.000201984
