epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1354,7.05343,16.76,0.74395,19.9952,3.9578,0.01766,0.1,0.00688,0.00567,0,0,0,0,3.94132,16.3663,0.7075,72.8112,2.98683,0.00054,0.00054,0.00054
2,24.9558,3.1798,11.7299,0.85858,17.5536,2.24395,0.10526,0.4,0.07331,0.0418,0.02632,0.1,0.01515,0.00573,4.75237,13.0765,0.74165,55.509,2.60548,0.00109637,0.00109637,0.00109637
3,36.1185,3.12749,11.1509,0.85219,19.4924,2.13835,0.02586,0.1,0.01293,0.00981,0,0,0,0,5.96147,14.3834,0.70929,8.33112,2.9658,0.00164904,0.00164904,0.00164904
4,46.819,4.14574,9.95421,0.6492,4.10679,2.61477,0.50386,0.3,0.26206,0.16045,0.52771,0.3,0.22484,0.04902,7.224,9.06987,0.61507,6.99557,4.3567,0.0019802,0.0019802,0.0019802
5,59.6227,4.2019,10.7128,0.57223,4.35949,2.79956,0.05406,0.4,0.03406,0.01578,0.04485,0.3,0.02348,0.0075,5.89361,8.58533,0.47405,22.3211,4.00143,0.0019736,0.0019736,0.0019736
6,71.5372,4.12807,8.49066,0.52227,4.62741,2.66423,0.00074,0.2,0.00041,0.00029,0.00074,0.2,0.00041,0.00029,6.81415,6.10145,0.38864,inf,4.63989,0.001967,0.001967,0.001967
7,82.0812,4.54525,5.64106,0.51151,6.5744,2.75325,0.00041,0.1,0.00019,0.00011,0.00041,0.1,0.00019,0.00017,5.33051,5.69841,0.34413,inf,3.37713,0.0019604,0.0019604,0.0019604
8,93.0916,4.03191,4.3935,0.45905,4.01908,2.72273,0.08242,0.4,0.04722,0.03534,0.08242,0.4,0.04371,0.03175,5.74209,6.1179,0.30532,12.3887,3.81141,0.0019538,0.0019538,0.0019538
9,106.07,3.93854,4.45595,0.36767,3.63378,2.79577,0.08387,0.3,0.31038,0.24768,0.02489,0.1,0.04257,0.00935,5.43571,9.70246,0.34519,98.6844,3.93891,0.0019472,0.0019472,0.0019472
10,118.568,3.3129,3.39843,0.35234,2.92293,2.56654,0.06425,0.2,0.04553,0.03423,0.06425,0.2,0.04197,0.01756,5.40793,9.54819,0.35933,27.1251,4.45597,0.0019406,0.0019406,0.0019406
11,129.85,2.83677,2.62967,0.28148,2.28191,2.44107,0.02849,0.6,0.03166,0.02759,0.01764,0.4,0.01265,0.00474,3.73128,7.28145,0.30703,69.196,2.88434,0.001934,0.001934,0.001934
12,144.759,3.07438,2.4312,0.32062,2.02449,2.50535,0.01842,0.9,0.01945,0.01638,0.01842,0.9,0.01945,0.01159,2.3586,1.76775,0.12087,108.306,2.26567,0.0019274,0.0019274,0.0019274
13,157.824,2.95443,2.41408,0.29352,1.79607,2.23599,0.96221,0.9,0.935,0.76847,0.96221,0.9,0.935,0.74715,2.34065,1.42384,0.127,2.52871,2.11333,0.0019208,0.0019208,0.0019208
14,171.54,2.8432,2.52197,0.30176,1.94555,2.26303,0.89668,1,0.94045,0.80999,0.89668,1,0.94045,0.79354,2.2939,1.04596,0.10439,1.46556,2.07261,0.0019142,0.0019142,0.0019142
15,186.683,2.54988,1.576,0.26327,1.45373,2.18455,0.82781,1,0.93136,0.81517,0.82781,1,0.93136,0.72315,1.97381,1.10208,0.09704,3.14368,2.02986,0.0019076,0.0019076,0.0019076
16,199.348,2.59022,1.38728,0.29558,1.46373,2.1096,0.89242,0.9,0.9375,0.77249,0.89242,0.9,0.9375,0.88411,2.11866,1.05513,0.0912,1.718,2.13397,0.001901,0.001901,0.001901
17,213.326,2.68346,1.99275,0.288,1.49137,2.10626,0.8051,0.9,0.88295,0.70856,0.8051,0.9,0.86664,0.7831,2.23395,3.11963,0.09056,1.82877,2.14632,0.0018944,0.0018944,0.0018944
18,226.563,2.37709,1.55686,0.2649,1.43502,2.00464,0.96553,0.9,0.8956,0.76138,0.96553,0.9,0.8956,0.83034,2.14244,1.21742,0.08386,1.85163,2.05937,0.0018878,0.0018878,0.0018878
19,239.691,2.19611,1.01405,0.18237,1.30859,1.96272,0.89486,0.9,0.88552,0.75514,0.89486,0.9,0.88552,0.8716,2.51343,1.42178,0.10305,2.13404,2.23373,0.0018812,0.0018812,0.0018812
20,253.117,2.15633,1.38343,0.31034,1.36429,1.98069,0.9915,0.9,0.89804,0.7633,0.9915,0.9,0.89804,0.89737,2.0762,1.61308,0.1131,2.09358,2.01803,0.0018746,0.0018746,0.0018746
21,267.566,2.21494,1.40257,0.28915,1.48198,2.003,0.9919,1,0.995,0.8683,0.9919,1,0.995,0.96631,1.82292,0.53195,0.05809,1.29334,1.97595,0.001868,0.001868,0.001868
22,282.954,1.98209,1.4023,0.21542,1.30291,1.96853,0.98027,1,0.995,0.85464,0.98027,1,0.995,0.995,1.85607,0.22277,0.06527,1.1535,2.00549,0.0018614,0.0018614,0.0018614
23,300.235,2.24976,1.70828,0.32228,1.34051,2.01681,0.98262,1,0.995,0.83153,0.98262,1,0.995,0.995,2.05293,0.24344,0.06799,1.09839,2.02292,0.0018548,0.0018548,0.0018548
24,322.807,2.09519,1.19397,0.30127,1.16317,1.96434,0.99548,1,0.995,0.84971,0.99548,1,0.995,0.995,2.10624,0.26432,0.06354,1.52151,2.07181,0.0018482,0.0018482,0.0018482
25,344.369,2.04022,1.03081,0.27264,1.28794,1.91301,0.99084,1,0.995,0.85473,0.99084,1,0.995,0.995,2.02674,0.16562,0.06401,1.38233,1.95276,0.0018416,0.0018416,0.0018416
26,367.401,2.19661,0.97375,0.33775,1.31369,1.97896,0.99288,1,0.995,0.82857,0.99288,1,0.995,0.995,1.92466,0.29627,0.07006,1.13499,1.97146,0.001835,0.001835,0.001835
27,385.404,1.93177,0.90681,0.35329,1.09442,1.91509,0.98968,1,0.995,0.86214,0.98968,1,0.995,0.995,1.73713,0.18788,0.06767,1.27909,1.92989,0.0018284,0.0018284,0.0018284
28,403.14,1.9289,0.81427,0.28363,1.10943,1.8586,0.98882,1,0.995,0.89675,0.98882,1,0.995,0.995,1.55841,0.17401,0.06806,1.07027,1.8755,0.0018218,0.0018218,0.0018218
29,423.088,1.8388,0.64723,0.15561,1.12701,1.82975,0.99149,1,0.995,0.87285,0.99149,1,0.995,0.995,1.75775,0.17776,0.06507,1.3043,1.92666,0.0018152,0.0018152,0.0018152
30,444.423,1.97647,1.13856,0.35126,1.19469,1.89362,1,0.99851,0.995,0.91656,1,0.99851,0.995,0.995,1.76824,0.18041,0.0729,1.09297,1.90206,0.0018086,0.0018086,0.0018086
31,462.87,1.84471,0.73987,0.21095,1.00333,1.82167,1,0.98584,0.995,0.86945,1,0.98584,0.995,0.995,1.96371,0.1893,0.06672,0.98992,1.96466,0.001802,0.001802,0.001802
32,479.422,2.04961,0.8465,0.24775,1.11897,1.97856,0.98735,1,0.995,0.8801,0.98735,1,0.995,0.995,1.84401,0.21857,0.06947,1.05611,1.95026,0.0017954,0.0017954,0.0017954
33,495.775,1.78128,0.39153,0.24827,0.99049,1.86927,0.99088,1,0.995,0.88378,0.99088,1,0.995,0.995,1.5418,0.16471,0.06919,0.92471,1.87223,0.0017888,0.0017888,0.0017888
34,514.542,1.71826,0.59795,0.22735,1.00692,1.82432,0.99187,1,0.995,0.88963,0.99187,1,0.995,0.995,1.67886,0.29404,0.06343,0.87535,1.87708,0.0017822,0.0017822,0.0017822
35,532.507,1.81156,0.9956,0.25492,0.93972,1.83057,0.99178,1,0.995,0.87583,0.99178,1,0.995,0.995,1.6998,0.3478,0.06378,0.78549,1.89792,0.0017756,0.0017756,0.0017756
36,553.794,1.93801,0.98905,0.30125,1.08505,1.88588,0.99218,1,0.995,0.89101,0.99218,1,0.995,0.995,1.76991,0.24431,0.05572,0.91192,1.91901,0.001769,0.001769,0.001769
37,578.225,1.9264,0.78415,0.23636,1.06199,1.87493,0.98971,1,0.995,0.84897,0.98971,1,0.995,0.995,1.90329,0.13991,0.05246,1.02654,1.93001,0.0017624,0.0017624,0.0017624
38,603.337,1.82063,0.64101,0.32273,0.99979,1.88015,0.98559,1,0.995,0.86208,0.98559,1,0.995,0.995,1.81316,0.18249,0.05279,1.03605,1.90672,0.0017558,0.0017558,0.0017558
39,624.552,1.79245,0.77013,0.21343,1.00476,1.81952,0.97404,1,0.995,0.8802,0.97404,1,0.995,0.995,1.80477,0.17912,0.05425,0.87232,1.88071,0.0017492,0.0017492,0.0017492
40,642.439,1.81091,0.60504,0.2443,0.97307,1.91901,0.90317,1,0.98591,0.87838,0.90317,1,0.98591,0.98591,1.58167,0.15273,0.05514,0.77613,1.89063,0.0017426,0.0017426,0.0017426
41,659.197,1.82184,0.72512,0.23858,0.95533,1.88071,0.99425,1,0.995,0.93114,0.99425,1,0.995,0.995,1.70013,0.18945,0.05233,0.85576,1.89399,0.001736,0.001736,0.001736
42,678.94,1.80599,0.78409,0.2498,1.03221,1.85669,0.9913,1,0.995,0.90507,0.9913,1,0.995,0.995,1.58744,0.18923,0.05135,0.80448,1.89726,0.0017294,0.0017294,0.0017294
43,701.755,1.72854,0.75035,0.23068,0.98129,1.82958,1,0.99464,0.995,0.88365,1,0.99464,0.995,0.995,1.55752,0.17639,0.0507,0.85444,1.86528,0.0017228,0.0017228,0.0017228
44,719.543,1.79799,0.84491,0.297,1.04691,1.83843,1,0.98962,0.995,0.89077,1,0.98962,0.995,0.995,1.59906,0.31369,0.05592,0.86946,1.92788,0.0017162,0.0017162,0.0017162
45,739.196,1.76658,0.78867,0.29921,1.0505,1.86753,0.98098,0.9,0.97833,0.88631,0.98098,0.9,0.97833,0.97018,1.59972,0.21275,0.06118,0.86777,1.8626,0.0017096,0.0017096,0.0017096
46,758.342,1.75772,0.78311,0.27601,0.97678,1.83153,0.98308,1,0.995,0.87333,0.98308,1,0.995,0.995,1.63377,0.17651,0.05751,1.24573,1.88551,0.001703,0.001703,0.001703
47,776.398,1.62337,0.60813,0.1738,0.91449,1.86285,0.97923,1,0.995,0.86894,0.97923,1,0.995,0.995,1.55168,0.15916,0.05503,1.09474,1.85897,0.0016964,0.0016964,0.0016964
48,793.688,1.55602,0.42617,0.22102,0.9046,1.80744,0.99089,1,0.995,0.87862,0.99089,1,0.995,0.995,1.71628,0.17603,0.06248,0.96136,1.91114,0.0016898,0.0016898,0.0016898
49,814.215,1.61016,0.52571,0.24412,0.85985,1.79633,0.99393,1,0.995,0.89774,0.99393,1,0.995,0.995,1.65377,0.12538,0.05995,0.88696,1.86485,0.0016832,0.0016832,0.0016832
